id,forecastVolum
1,269
2,311
3,195
4,272
5,429
6,156
7,427
8,204
9,2899
10,336
11,709
12,164
13,338
14,349
15,702
16,401
17,304
18,293
19,728
20,127
21,289
22,318
23,415
24,416
25,332
26,411
27,788
28,621
29,1161
30,420
31,10622
32,1122
33,2048
34,594
35,1177
36,872
37,1865
38,965
39,883
40,1362
41,1863
42,279
43,560
44,1044
45,165
46,322
47,225
48,410
49,372
50,127
51,355
52,156
53,1614
54,105
55,401
56,108
57,425
58,312
59,367
60,212
61,241
62,117
63,560
64,136
65,252
66,271
67,237
68,459
69,210
70,154
71,438
72,304
73,469
74,301
75,4926
76,589
77,1329
78,455
79,600
80,757
81,1663
82,850
83,649
84,925
85,661
86,198
87,376
88,175
89,229
90,3919
91,616
92,197
93,1755
94,2174
95,4259
96,1935
97,1727
98,2795
99,2224
100,1091
101,5836
102,4873
103,1464
104,1438
105,1864
106,488
107,1057
108,242
109,2317
110,750
111,470
112,661
113,608
114,87
115,1323
116,1282
117,2707
118,848
119,5874
120,660
121,2294
122,1222
123,3292
124,3447
125,1669
126,1628
127,1985
128,460
129,495
130,851
131,701
132,556
133,1101
134,216
135,178
136,1546
137,395
138,359
139,1351
140,347
141,1239
142,135
143,1365
144,238
145,850
146,989
147,1072
148,319
149,210
150,250
151,376
152,161
153,376
154,280
155,509
156,143
157,55
158,151
159,260
160,818
161,430
162,86
163,523
164,133
165,1097
166,269
167,270
168,643
169,1156
170,574
171,340
172,239
173,88
174,169
175,132
176,73
177,1615
178,492
179,357
180,512
181,1403
182,1349
183,1316
184,434
185,1374
186,346
187,1499
188,1261
189,769
190,1469
191,1367
192,1352
193,1346
194,599
195,423
196,531
197,405
198,222
199,1266
200,698
201,409
202,230
203,1953
204,3197
205,4882
206,1221
207,2305
208,956
209,4458
210,2561
211,3012
212,4905
213,3855
214,2699
215,2261
216,1261
217,694
218,568
219,1108
220,228
221,133
222,540
223,415
224,342
225,1005
226,1214
227,2738
228,1290
229,1624
230,1189
231,1926
232,1112
233,2423
234,3537
235,2997
236,1176
237,2551
238,718
239,491
240,1021
241,3013
242,173
243,112
244,656
245,368
246,109
247,1395
248,1041
249,2088
250,1430
251,2816
252,949
253,1037
254,754
255,2703
256,2375
257,1069
258,689
259,1297
260,332
261,571
262,677
263,1759
264,542
265,172
266,1223
267,713
268,141
269,1636
270,1210
271,2613
272,1165
273,885
274,675
275,1555
276,1067
277,2598
278,2777
279,993
280,1281
281,1315
282,539
283,354
284,578
285,1028
286,677
287,543
288,2053
289,1122
290,446
291,3161
292,2962
293,4713
294,1061
295,3583
296,688
297,3109
298,1723
299,3865
300,5850
301,4592
302,2181
303,2650
304,1102
305,1405
306,1375
307,1904
308,812
309,743
310,443
311,462
312,1114
313,704
314,997
315,1249
316,752
317,588
318,144
319,1762
320,356
321,1641
322,1167
323,768
324,321
325,440
326,239
327,216
328,434
329,567
330,128
331,93
332,1617
333,1152
334,362
335,2843
336,601
337,3164
338,1839
339,1865
340,433
341,969
342,570
343,3260
344,1966
345,684
346,564
347,1424
348,548
349,2005
350,365
351,727
352,1779
353,1691
354,2176
355,1026
356,405
357,4233
358,3845
359,5897
360,2209
361,1763
362,944
363,6694
364,2828
365,6810
366,8579
367,3589
368,2449
369,3432
370,1101
371,1233
372,1796
373,1265
374,448
375,440
376,1424
377,1655
378,226
379,1214
380,2458
381,8425
382,3724
383,522
384,303
385,2005
386,645
387,9158
388,4259
389,1064
390,440
391,657
392,324
393,1479
394,489
395,1161
396,992
397,262
398,582
399,539
400,1089
401,818
402,640
403,1706
404,481
405,1019
406,283
407,1294
408,264
409,2023
410,1727
411,833
412,574
413,473
414,412
415,717
416,411
417,689
418,861
419,421
420,352
421,76
422,153
423,373
424,583
425,633
426,42
427,1061
428,216
429,624
430,439
431,530
432,307
433,546
434,189
435,566
436,357
437,130
438,159
439,175
440,134
441,682
442,961
443,893
444,392
445,3433
446,2229
447,2808
448,701
449,1948
450,352
451,3803
452,882
453,4220
454,3715
455,3279
456,1296
457,1001
458,1030
459,968
460,645
461,1199
462,909
463,1062
464,351
465,305
466,795
467,765
468,900
469,1930
470,280
471,857
472,225
473,2237
474,375
475,1648
476,1349
477,1842
478,487
479,467
480,403
481,412
482,148
483,415
484,406
485,72
486,75
487,58
488,99
489,247
490,596
491,1017
492,256
493,148
494,128
495,342
496,143
497,840
498,588
499,116
500,272
501,253
502,64
503,245
504,118
505,175
506,92
507,633
508,196
509,92
510,686
511,523
512,361
513,548
514,104
515,1184
516,141
517,1433
518,197
519,314
520,306
521,1452
522,310
523,254
524,398
525,247
526,216
527,234
528,63
529,350
530,159
531,95
532,248
533,302
534,258
535,285
536,87
537,399
538,104
539,625
540,135
541,198
542,202
543,654
544,253
545,202
546,163
547,139
548,144
549,152
550,67
551,527
552,259
553,120
554,719
555,437
556,246
557,414
558,153
559,1182
560,160
561,957
562,197
563,244
564,270
565,855
566,307
567,269
568,280
569,231
570,180
571,212
572,75
573,171
574,65
575,29
576,288
577,149
578,195
579,277
580,30
581,230
582,44
583,467
584,45
585,253
586,103
587,624
588,86
589,73
590,64
591,73
592,40
593,69
594,38
595,928
596,216
597,176
598,620
599,672
600,435
601,695
602,161
603,886
604,146
605,1584
606,307
607,490
608,431
609,1931
610,425
611,475
612,288
613,538
614,199
615,353
616,156
617,521
618,169
619,172
620,334
621,445
622,346
623,557
624,158
625,679
626,112
627,1206
628,244
629,406
630,331
631,1614
632,442
633,280
634,238
635,218
636,137
637,160
638,95
639,492
640,264
641,179
642,1008
643,620
644,300
645,560
646,159
647,1196
648,160
649,1189
650,262
651,418
652,367
653,1562
654,438
655,407
656,280
657,465
658,171
659,287
660,127
661,561
662,229
663,75
664,560
665,515
666,325
667,447
668,90
669,1129
670,133
671,1289
672,175
673,379
674,373
675,1744
676,265
677,325
678,301
679,247
680,218
681,213
682,88
683,310
684,853
685,197
686,267
687,633
688,1520
689,2796
690,848
691,3669
692,3141
693,2134
694,694
695,2127
696,5420
697,1324
698,781
699,1470
700,499
701,685
702,259
703,1118
704,677
705,882
706,298
707,569
708,130
709,1125
710,680
711,1208
712,286
713,262
714,139
715,1962
716,657
717,792
718,1241
719,1275
720,440
721,851
722,281
723,174
724,203
725,1627
726,93
727,515
728,209
729,90
730,120
731,206
732,208
733,307
734,110
735,188
736,36
737,558
738,136
739,297
740,325
741,487
742,66
743,121
744,85
745,48
746,108
747,133
748,46
749,210
750,106
751,98
752,495
753,443
754,270
755,861
756,217
757,2817
758,260
759,1087
760,297
761,548
762,366
763,888
764,614
765,439
766,802
767,272
768,425
769,288
770,132
771,188
772,344
773,474
774,774
775,737
776,209
777,920
778,410
779,1776
780,372
781,635
782,266
783,1132
784,906
785,642
786,1232
787,538
788,368
789,904
790,545
791,499
792,367
793,143
794,278
795,212
796,67
797,659
798,377
799,576
800,213
801,1880
802,376
803,1008
804,528
805,530
806,832
807,1029
808,332
809,664
810,331
811,299
812,229
813,144
814,148
815,360
816,445
817,482
818,496
819,1740
820,973
821,4025
822,2101
823,10371
824,3040
825,3011
826,2037
827,3702
828,2736
829,2490
830,2341
831,1564
832,1953
833,2525
834,680
835,489
836,1351
837,327
838,516
839,331
840,548
841,712
842,803
843,1201
844,547
845,2554
846,282
847,1402
848,579
849,1077
850,1244
851,1359
852,2074
853,760
854,557
855,1355
856,323
857,590
858,532
859,240
860,336
861,233
862,215
863,444
864,460
865,790
866,290
867,2247
868,303
869,1076
870,363
871,619
872,755
873,933
874,994
875,444
876,586
877,463
878,185
879,287
880,336
881,210
882,11
883,23
884,226
885,40
886,43
887,246
888,82
889,850
890,20
891,341
892,33
893,230
894,160
895,415
896,47
897,35
898,63
899,134
900,15
901,29
902,30
903,246
904,331
905,155
906,299
907,408
908,380
909,907
910,262
911,3522
912,351
913,829
914,368
915,671
916,598
917,985
918,730
919,565
920,657
921,500
922,180
923,182
924,243
925,381
926,140
927,175
928,552
929,336
930,433
931,957
932,354
933,2374
934,142
935,1156
936,259
937,984
938,862
939,1857
940,585
941,562
942,456
943,940
944,180
945,259
946,495
947,228
948,70
949,51
950,445
951,229
952,99
953,219
954,37
955,444
956,15
957,248
958,74
959,163
960,135
961,122
962,138
963,128
964,104
965,87
966,137
967,159
968,55
969,201
970,134
971,95
972,69
973,291
974,736
975,657
976,166
977,672
978,91
979,1204
980,497
981,462
982,798
983,1112
984,365
985,353
986,249
987,33
988,20
989,124
990,44
991,66
992,118
993,105
994,68
995,320
996,373
997,651
998,101
999,123
1000,95
1001,759
1002,274
1003,648
1004,917
1005,1787
1006,345
1007,410
1008,205
1009,204
1010,160
1011,299
1012,86
1013,600
1014,142
1015,57
1016,295
1017,819
1018,864
1019,991
1020,162
1021,1466
1022,165
1023,2901
1024,629
1025,668
1026,2456
1027,2512
1028,563
1029,701
1030,556
1031,213
1032,332
1033,315
1034,202
1035,27
1036,371
1037,677
1038,49
1039,1021
1040,479
1041,2965
1042,708
1043,885
1044,403
1045,876
1046,303
1047,3391
1048,1887
1049,1025
1050,440
1051,544
1052,607
1053,1764
1054,206
1055,1122
1056,1187
1057,771
1058,465
1059,360
1060,534
1061,1086
1062,1247
1063,1479
1064,227
1065,1580
1066,288
1067,2307
1068,953
1069,1123
1070,2429
1071,3377
1072,823
1073,865
1074,595
1075,215
1076,552
1077,632
1078,207
1079,242
1080,272
1081,56
1082,108
1083,505
1084,409
1085,620
1086,154
1087,532
1088,181
1089,983
1090,325
1091,561
1092,623
1093,571
1094,299
1095,292
1096,328
1097,115
1098,196
1099,199
1100,69
1123,362
1124,210
1125,55
1126,182
1127,1060
1128,515
1129,419
1130,71
1131,1213
1132,218
1133,1186
1134,530
1135,515
1136,532
1137,908
1138,530
1139,466
1140,474
1141,115
1142,334
1143,177
1144,78
1145,320
1146,333
1147,191
1148,418
1149,571
1150,250
1151,602
1152,172
1153,1161
1154,204
1155,548
1156,185
1157,537
1158,556
1159,439
1160,291
1161,359
1162,202
1163,244
1164,387
1165,267
1166,297
1167,394
1168,425
1169,250
1170,247
1171,1330
1172,1600
1173,1776
1174,366
1175,1383
1176,681
1177,2167
1178,630
1179,828
1180,2296
1181,1032
1182,537
1183,1580
1184,661
