id,province,adcode,model,regYear,regMonth,forecastVolum
1,上海,310000,3c974920a76ac9c1,2018,1,269
2,云南,530000,3c974920a76ac9c1,2018,1,311
3,内蒙古,150000,3c974920a76ac9c1,2018,1,195
4,北京,110000,3c974920a76ac9c1,2018,1,272
5,四川,510000,3c974920a76ac9c1,2018,1,429
6,安徽,340000,3c974920a76ac9c1,2018,1,156
7,山东,370000,3c974920a76ac9c1,2018,1,427
8,山西,140000,3c974920a76ac9c1,2018,1,204
9,广东,440000,3c974920a76ac9c1,2018,1,2899
10,广西,450000,3c974920a76ac9c1,2018,1,336
11,江苏,320000,3c974920a76ac9c1,2018,1,709
12,江西,360000,3c974920a76ac9c1,2018,1,164
13,河北,130000,3c974920a76ac9c1,2018,1,338
14,河南,410000,3c974920a76ac9c1,2018,1,349
15,浙江,330000,3c974920a76ac9c1,2018,1,702
16,湖北,420000,3c974920a76ac9c1,2018,1,401
17,湖南,430000,3c974920a76ac9c1,2018,1,304
18,福建,350000,3c974920a76ac9c1,2018,1,293
19,辽宁,210000,3c974920a76ac9c1,2018,1,728
20,重庆,500000,3c974920a76ac9c1,2018,1,127
21,陕西,610000,3c974920a76ac9c1,2018,1,289
22,黑龙江,230000,3c974920a76ac9c1,2018,1,318
23,上海,310000,3d7554f1f56dd664,2018,1,415
24,云南,530000,3d7554f1f56dd664,2018,1,416
25,内蒙古,150000,3d7554f1f56dd664,2018,1,332
26,北京,110000,3d7554f1f56dd664,2018,1,411
27,四川,510000,3d7554f1f56dd664,2018,1,788
28,安徽,340000,3d7554f1f56dd664,2018,1,621
29,山东,370000,3d7554f1f56dd664,2018,1,1161
30,山西,140000,3d7554f1f56dd664,2018,1,420
31,广东,440000,3d7554f1f56dd664,2018,1,10622
32,广西,450000,3d7554f1f56dd664,2018,1,1122
33,江苏,320000,3d7554f1f56dd664,2018,1,2048
34,江西,360000,3d7554f1f56dd664,2018,1,594
35,河北,130000,3d7554f1f56dd664,2018,1,1177
36,河南,410000,3d7554f1f56dd664,2018,1,872
37,浙江,330000,3d7554f1f56dd664,2018,1,1865
38,湖北,420000,3d7554f1f56dd664,2018,1,965
39,湖南,430000,3d7554f1f56dd664,2018,1,883
40,福建,350000,3d7554f1f56dd664,2018,1,1362
41,辽宁,210000,3d7554f1f56dd664,2018,1,1863
42,重庆,500000,3d7554f1f56dd664,2018,1,279
43,陕西,610000,3d7554f1f56dd664,2018,1,560
44,黑龙江,230000,3d7554f1f56dd664,2018,1,1044
45,上海,310000,2d0d2c3403909fdb,2018,1,165
46,云南,530000,2d0d2c3403909fdb,2018,1,322
47,内蒙古,150000,2d0d2c3403909fdb,2018,1,225
48,北京,110000,2d0d2c3403909fdb,2018,1,410
49,四川,510000,2d0d2c3403909fdb,2018,1,372
50,安徽,340000,2d0d2c3403909fdb,2018,1,127
51,山东,370000,2d0d2c3403909fdb,2018,1,355
52,山西,140000,2d0d2c3403909fdb,2018,1,156
53,广东,440000,2d0d2c3403909fdb,2018,1,1614
54,广西,450000,2d0d2c3403909fdb,2018,1,105
55,江苏,320000,2d0d2c3403909fdb,2018,1,401
56,江西,360000,2d0d2c3403909fdb,2018,1,108
57,河北,130000,2d0d2c3403909fdb,2018,1,425
58,河南,410000,2d0d2c3403909fdb,2018,1,312
59,浙江,330000,2d0d2c3403909fdb,2018,1,367
60,湖北,420000,2d0d2c3403909fdb,2018,1,212
61,湖南,430000,2d0d2c3403909fdb,2018,1,241
62,福建,350000,2d0d2c3403909fdb,2018,1,117
63,辽宁,210000,2d0d2c3403909fdb,2018,1,560
64,重庆,500000,2d0d2c3403909fdb,2018,1,136
65,陕西,610000,2d0d2c3403909fdb,2018,1,252
66,黑龙江,230000,2d0d2c3403909fdb,2018,1,271
67,上海,310000,a28bb927b6fcb33c,2018,1,237
68,云南,530000,a28bb927b6fcb33c,2018,1,459
69,内蒙古,150000,a28bb927b6fcb33c,2018,1,210
70,北京,110000,a28bb927b6fcb33c,2018,1,154
71,四川,510000,a28bb927b6fcb33c,2018,1,438
72,安徽,340000,a28bb927b6fcb33c,2018,1,304
73,山东,370000,a28bb927b6fcb33c,2018,1,469
74,山西,140000,a28bb927b6fcb33c,2018,1,301
75,广东,440000,a28bb927b6fcb33c,2018,1,4926
76,广西,450000,a28bb927b6fcb33c,2018,1,589
77,江苏,320000,a28bb927b6fcb33c,2018,1,1329
78,江西,360000,a28bb927b6fcb33c,2018,1,455
79,河北,130000,a28bb927b6fcb33c,2018,1,600
80,河南,410000,a28bb927b6fcb33c,2018,1,757
81,浙江,330000,a28bb927b6fcb33c,2018,1,1663
82,湖北,420000,a28bb927b6fcb33c,2018,1,850
83,湖南,430000,a28bb927b6fcb33c,2018,1,649
84,福建,350000,a28bb927b6fcb33c,2018,1,925
85,辽宁,210000,a28bb927b6fcb33c,2018,1,661
86,重庆,500000,a28bb927b6fcb33c,2018,1,198
87,陕西,610000,a28bb927b6fcb33c,2018,1,376
88,黑龙江,230000,a28bb927b6fcb33c,2018,1,175
89,上海,310000,17bc272c93f19d56,2018,1,229
90,云南,530000,17bc272c93f19d56,2018,1,3919
91,内蒙古,150000,17bc272c93f19d56,2018,1,616
92,北京,110000,17bc272c93f19d56,2018,1,197
93,四川,510000,17bc272c93f19d56,2018,1,1755
94,安徽,340000,17bc272c93f19d56,2018,1,2174
95,山东,370000,17bc272c93f19d56,2018,1,4259
